"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 21, 2016","20,390","20,330","20,770","19,820","9.45K","0.30%"
"Aug 14, 2016","20,330","21,400","21,400","20,300","9.84K","-6.70%"
"Aug 07, 2016","21,790","22,540","22,730","21,380","15.26K","-3.46%"
"Jul 31, 2016","22,570","21,950","22,780","21,800","18.91K","3.58%"
"Jul 24, 2016","21,790","21,600","21,970","21,510","1.16K","-0.46%"
"Jul 17, 2016","21,890","23,560","23,800","21,600","9.05K","-7.13%"
"Jul 10, 2016","23,570","21,680","23,990","21,620","19.74K","9.53%"
"Jul 03, 2016","21,520","20,430","21,830","20,420","15.47K","5.96%"
"Jun 26, 2016","20,310","19,430","20,550","19,420","4.42K","5.07%"
"Jun 19, 2016","19,330","19,580","19,580","18,950","5.37K","-1.02%"
"Jun 12, 2016","19,530","19,200","19,620","18,920","14.61K","2.41%"
"Jun 05, 2016","19,070","18,440","19,100","18,440","18.02K","4.04%"
"May 29, 2016","18,330","17,940","18,350","17,940","6.08K","2.40%"
"May 22, 2016","17,900","17,340","17,980","17,340","8.10K","3.05%"
"May 15, 2016","17,370","17,090","17,450","17,070","6.85K","1.70%"
"May 08, 2016","17,080","17,500","17,500","16,970","7.42K","-2.18%"
"May 01, 2016","17,460","17,600","17,680","17,400","9.18K","0.98%"
"Apr 24, 2016","17,290","17,170","17,390","17,170","3.59K","0.29%"
"Apr 17, 2016","17,240","17,000","17,320","16,890","10.84K","2.56%"
"Apr 10, 2016","16,810","16,830","17,190","16,560","10.69K","0.30%"
"Apr 03, 2016","16,760","16,200","16,780","16,200","9.14K","3.52%"
"Mar 27, 2016","16,190","15,720","16,250","15,550","5.68K","1.82%"
"Mar 20, 2016","15,900","15,700","16,040","15,660","6.50K","1.21%"
"Mar 13, 2016","15,710","15,850","15,890","15,680","6.93K","-0.76%"
"Mar 06, 2016","15,830","15,880","15,990","15,780","5.13K","0.19%"
"Feb 28, 2016","15,800","16,110","16,190","15,750","8.10K","-1.19%"
"Feb 21, 2016","15,990","16,360","16,360","15,870","7.40K","-2.02%"
"Feb 14, 2016","16,320","16,170","16,480","16,130","6.40K","1.30%"
"Feb 07, 2016","16,110","16,270","16,380","15,960","11.31K","-1.17%"
